label,flops,bytes,time_s
heis,450705239000,138395968000,1.0
tfim,401705239000,140395968000,1.0
qmc,270705239000,115395968000,1.0
fh,311705239000,115395968000,1.0
bh,604705239000,170395968000,1.0
mc,69905239000,12595968000,1.0
