"# 16x16 (256 fp32 MAC) COMPUTE-ONLY PPA (2MB on-chip cache/scratchpad EXCLUDED). TSMC28HPC+ 7T-HVT ssg0p81v125c @1GHz, fp32."
"# CALIBRATION: TPU dense=1.69 (ref). Sparse ~2x dense: Trapezoid/Flexagon=3.38; DIAMOND=3.04 (0.9x, simpler logic); SegFold=3.10 (~DIAMOND). cal_x scales area+leakage."
"# Dynamic = measured datapath ungated upper bound (added sparse-control is low-activity, not scaled). 16nm via DeepScaleTool (area x0.40, power x0.47)."
design,cal_x,area_mm2_28,leak_mW_28,dyn_mW_28,area_mm2_16,leak_mW_16,dyn_mW_16,um2_per_MAC
DIAMOND,2.19,3.04,102.7,1103.2,1.216,48.3,518.5,11875
TPU,1.0,1.69,151.8,585.9,0.676,71.3,275.4,6602
Trapezoid,3.61,3.38,208.7,545.4,1.352,98.1,256.3,13203
Flexagon,3.61,3.38,199.8,298.0,1.352,93.9,140.1,13203
SegFold,1.81,3.1,75.1,433.0,1.24,35.3,203.5,12109
